,Disease,DOID
0,Autism,DOID:12849
1,Multiple Sclerosis,DOID:2377
2,Crohn's Disease,DOID:8778
3,Ulcerative Colitis,DOID:8577
4,Irritable Bowel Syndrome,DOID:9778
5,Cirrhosis,DOID:5082
6,Type 2 Diabetes,DOID:9352
7,Obesity,DOID:9970
8,Pouchitis,DOID:2965
9,Short Bowel Syndrome,DOID:10605
10,Acquired Immunodeficiency Syndrome,DOID:635
11,Laryngeal carcinoma,DOID:2600
12,Psoriasis,DOID:8893
13,Cystic Fibrosis,DOID:1485
14,Chronic Obstructive Pulmonary Disease,DOID:3083
15,Colorectal cancer,DOID:9256
16,Inflammatory Bowel Disease,DOID:0050589
17,Major depressive disorder,DOID:1470
18,Bipolar disorder,DOID:3312
19,Chronic fatigue syndrome,DOID:8544
20,Parkinson's Disease,DOID:14330
21,Alzheimer's Disease,DOID:10652
22,Infective colitis,DOID:0060180
23,Atherosclerosis,DOID:1936
24,Aggressive periodontitis,DOID:1474
25,Type 1 Diabetes,DOID:0110742
26,Esophageal cancer,DOID:5041
27,Acute skin abscess,DOID:9723
28,Necrotizing enterocolitis,DOID:8677
29,Caries,DOID:216
30,Atopy,DOID:3310
31,Familial adenomatous polyposis,DOID:0050424
32,Allergy,DOID:0040001
33,"Celiac Disease, Coaliac disease",DOID:10608
34,Ankylosing spondylitis,DOID:7147
35,Atopic eczema,DOID:9123
36,HIV infection,DOID:526
37,Systemic sclerosis,DOID:418
38,Primary sclerosing cholangitis,DOID:0060643
39,Preeclamsia,DOID:10591
40,Pulmonary tubercolosis,DOID:13406
41,Juvenile idiopathic arthritis,DOID:676
42,Behcet's Disease,DOID:13241
43,Sjogren's syndrome,DOID:12894
44,Autoimmune hepatitis,DOID:2048
45,Hepatitis B,DOID:2043
46,Aphthous ulcer,DOID:9663
47,Pancreatic cancer,DOID:1793
48,Tuberculosis,DOID:399
49,Recurrent tonsillitis,DOID:10456
50,Atopic dermatitis,DOID:3310
51,Bacterial vaginosis,DOID:3385
52,Cervical cancer,DOID:4362
53,Asthma,DOID:2841
54,Rheumatoid Arthritis,DOID:7148
55,Periodontal disease,DOID:3388
56,Blepharitis,DOID:9423
57,Chronic Rhinosinusitis,DOID:10793
58,Conjunctival scarring,DOID:10139
59,Oral lichen planus,DOID:9201
60,Heart failure,DOID:9651
61,Refractory celiac disease,DOID:10608
62,Interstitial cystitis,DOID:13949
63,Coronary artery disease,DOID:3393
64,Juvenile Idiopathic Arthritis,DOID:676
65,Preterm birth,DOID:0111144
66,Polycystic Ovary Syndrome,DOID:11612
67,Trachoma,DOID:11265
68,Colon adenomas,DOID:219
69,Gestational diabetes,DOID:11714
70,Primary Open-Angle Glaucoma,DOID:1070
71,Barrett's oesophagus,DOID:9206
72,Megaesophagus,DOID:13186
73,Pneumonia,DOID:552
74,Cutaneous burn,DOID:4331
75,Exacerbations of idiopathic pulmonary fibrosis,DOID:0050156
76,Head/Neck cancer,DOID:11934
77,Hypertension,DOID:10763
78,Halitosis,DOID:403
79,Rectal Carcinoma,DOID:6959
80,Dandruff,DOID:9060
81,Viral Diarrhea,DOID:13250
82,HIV-infected pneumonia,DOID:10533
83,Pervasive developmental disorder NOS,DOID:0060040
84,Macular degeneration,DOID:4448
85,Spondyloarthritis,DOID:848
86,Systemic lupus erythematosus,DOID:9074
87,Transient Ischemic Attack,DOID:224
88,Denture Stomatitis,DOID:11875
89,Spinal cord injury,DOID:13743
90,Osmotic diarrhea,DOID:0050130
91,Reflux esophagitis,DOID:13976
92,Inactive Crohn's Disease,DOID:8778
93,Endometrial cancer,DOID:1380
94,Infantile eczema,DOID:9123
95,Granulomatous mastitis,DOID:10690
96,severe skin and soft tissue infection,DOID:3814
97,Coronary Heart Disease,DOID:3393
98,Acne,DOID:6543
99,Vitiligo,DOID:12306
100,Appendicitis,DOID:8337
101,Gastro-oesophageal reflux disease,DOID:8534
102,Constipation,DOID:2089
103,Disease-free ,DOID:4
104,Chronic Rhinosinusitis with asthma,DOID:0080809
105,Chronic Rhinosinusitis with cystic fibrosis,DOID:1485
106,Postmenopausal,DOID:11968
107,Aphthous stomatitis,DOID:9663
108,Primary sclerosing cholangitis-IBD,DOID:0060643
109,Oral cancer,DOID:8618
110,Psoriatic Arthritis,DOID:9008
111,Chronic lung disease,DOID:3083
112,Cardiovascular disease,DOID:1287
113,Clostridium difficile associated disease,DOID:0060185
114,Botulism,DOID:11976
115,Idiopathic Pulmonary Fibrosis,DOID:0050156
116,Rett Syndrome,DOID:1206
117,Gingivitis,DOID:3087
118,Chronic prostatitis / Chronic pelvic pain syndrome,DOID:14654
119,Kidney stone,DOID:585
120,Eosinophilic esophagitis,DOID:13922
121,Chronic kidney disease,DOID:784
122,Chagas' disease,DOID:12140
123,periodontitis,DOID:824
124,Anorexia Nervosa,DOID:8689
125,Kawasaki disease,DOID:13378
126,Rhinovirus infection,DOID:2825
127,Non alcoholic steatohepatitis,DOID:0080547
128,Pancreatitis,DOID:4989
129,Non-alcoholic fatty liver disease,DOID:0080546
130,Ascites,DOID:0060476
131,Opisthorchis felineus infection,
132,Helicobacter pylori infection,
133,Primary biliary cirrhosis,DOID:12236
134,Liver fibrosis,DOID:1485
135,Hepatic encephalopathy,DOID:13413
136,Alcoholism,DOID:0050741
137,Gastroenteritis,DOID:2326
138,Primary biliary cholangitis,DOID:12236
139,Amyotrophic lateral sclerosis,DOID:332
140,Hashimoto's thyroiditis,DOID:7166
141,Cirrhosis with pneumonia,DOID:5082
142,Hepatitis C,DOID:1883
143,Functional dyspepsia,DOID:11371
144,Liver transplant,
145,Schizophrenia,DOID:5419
146,Atrophic gastritis,DOID:8929
147,Cervicitis,DOID:2568
148,Smoking,
149,Pregnancy,DOID:0060329
150,Idiopathic infertility,DOID:0112312
151,Trichomonas vaginalis infection,DOID:0050269
152,Human papilloma virus infection,DOID:526
153,Nongonococcal urethritis,DOID:1343
154,Vulvar vestibulitis syndrome,DOID:14292
155,Hyperthyroidism,DOID:7998
156,Idiopathic REM Sleep Behavior Disorder,DOID:9091
157,T2D with hypertension,DOID:10825
