"","Colon cancer","Periodontal","Gastric and duodenal ulcer","Gastro-oesophageal reflux","Guttate psoriasis","Atopy","Diarrhea Irritable bowel syndrome(IBS)","Irritable bowel syndrome(IBS)","Constipation Irritable bowel syndrome(IBS)","Obesity","Ileal Crohn's disease(CD)","Bacterial Vaginosis","Infectious colitis","Ulcerative colitis","Crohn's disease(CD)","Allergic sensitization","Atopic dermatitis","Atopic sensitisation","Eczema","Recurrent wheeze","Allergy","Asthma","Inflammatory bowel disease(IBD)","Cystic fibrosis","Rheumatoid arthrits","Psoriasis","Necrotizing Enterocolitis","Systemic inflammatory response syndrome","COPD","Type 2 diabetes","Type 1 diabetes","Colorectal carcinoma","Kidney stones","Whipple's disease","Liver cirrhosis","Allergic asthma","Clostridium difficile infection(CDI)","Skin and mucosal infections","New-onset untreated rheumatoid arthrits"
"Colon cancer",1,0.0498579928542293,0.0367619429090039,0.0698989009481177,0.0367619429090039,0.0498579928542293,0.0698989009481177,0.0498579928542293,0.0367619429090039,0.0367619429090039,0.0280132767810044,0.0280132767810044,0.0280132767810044,0.0280132767810044,0.0367619429090039,0.0367619429090039,0.0220824020542819,0.0180216412275933,0.0498579928542293,0.0152223787564515,0.0180216412275933,0.0367619429090039,0.0498579928542293,0.10162667835798,0.0220824020542819,0.0498579928542293,0.0698989009481177,0.133086930698233,0.0280132767810044,0.0220824020542819,0.0180216412275933,0.687384851140685,0.0498579928542293,0.0498579928542293,0.0367619429090039,0.0180216412275933,0.0280132767810044,0.164303377491262,0.0220824020542819
"Periodontal",0.0498579928542293,1,0.173472727049999,0.491151693334087,0.173472727049999,0.639392737369731,0.491151693334087,0.386967653528542,0.319248127932352,0.0714299464323527,0.274166873716867,0.148976520421494,0.274166873716867,0.274166873716867,0.319248127932352,0.173472727049999,0.132409048462471,0.1210836969317,0.0865818037575277,0.113285175146291,0.1210836969317,0.173472727049999,0.386967653528542,0.147105639620399,0.132409048462471,0.21027009483971,0.491151693334087,0.0498579928542293,0.148976520421494,0.0545213728963117,0.0498579928542293,0.0498579928542293,0.21027009483971,0.386967653528542,0.319248127932352,0.1210836969317,0.274166873716867,0.0714299464323527,0.132409048462471
"Gastric and duodenal ulcer",0.0367619429090039,0.173472727049999,1,0.226732089065557,0.421998728397202,0.173472727049999,0.226732089065557,0.173472727049999,0.138778105311832,0.0571439257166366,0.115648378688694,0.115648378688694,0.115648378688694,0.115648378688694,0.138778105311832,0.421998728397202,0.304051121218363,0.271481053610807,0.0714299464323527,0.0819002213950383,0.0892790042075809,0.138778105311832,0.173472727049999,0.128249502550101,0.0999899660382537,0.527498700621427,0.226732089065557,0.0367619429090039,0.115648378688694,0.041172338956928,0.0367619429090039,0.0367619429090039,0.173472727049999,0.173472727049999,0.138778105311832,0.0892790042075809,0.115648378688694,0.0571439257166366,0.0999899660382537
"Gastro-oesophageal reflux",0.0698989009481177,0.491151693334087,0.226732089065557,1,0.226732089065557,0.491151693334087,0.605211212001579,0.491151693334087,0.417263256347538,0.0933602719681705,0.368184127562069,0.200063521369343,0.368184127562069,0.368184127562069,0.417263256347538,0.226732089065557,0.182053533683929,0.169754473731143,0.109892388006257,0.161291303605171,0.169754473731143,0.226732089065557,0.491151693334087,0.176370950666949,0.182053533683929,0.266881513729481,0.605211212001579,0.0698989009481177,0.200063521369343,0.074963219752206,0.0698989009481177,0.0698989009481177,0.266881513729481,0.491151693334087,0.417263256347538,0.169754473731143,0.368184127562069,0.0933602719681705,0.182053533683929
"Guttate psoriasis",0.0367619429090039,0.173472727049999,0.421998728397202,0.226732089065557,1,0.173472727049999,0.226732089065557,0.173472727049999,0.138778105311832,0.0571439257166366,0.115648378688694,0.115648378688694,0.115648378688694,0.115648378688694,0.138778105311832,0.421998728397202,0.304051121218363,0.271481053610807,0.0714299464323527,0.0819002213950383,0.0892790042075809,0.138778105311832,0.173472727049999,0.128249502550101,0.0999899660382537,0.824999518748676,0.226732089065557,0.0367619429090039,0.115648378688694,0.041172338956928,0.0367619429090039,0.0367619429090039,0.173472727049999,0.173472727049999,0.138778105311832,0.0892790042075809,0.115648378688694,0.0571439257166366,0.0999899660382537
"Atopy",0.0498579928542293,0.639392737369731,0.173472727049999,0.491151693334087,0.173472727049999,1,0.491151693334087,0.386967653528542,0.319248127932352,0.0714299464323527,0.274166873716867,0.148976520421494,0.274166873716867,0.274166873716867,0.319248127932352,0.173472727049999,0.132409048462471,0.1210836969317,0.0865818037575277,0.113285175146291,0.1210836969317,0.173472727049999,0.386967653528542,0.147105639620399,0.132409048462471,0.21027009483971,0.491151693334087,0.0498579928542293,0.148976520421494,0.0545213728963117,0.0498579928542293,0.0498579928542293,0.21027009483971,0.386967653528542,0.319248127932352,0.1210836969317,0.274166873716867,0.0714299464323527,0.132409048462471
"Diarrhea Irritable bowel syndrome(IBS)",0.0698989009481177,0.491151693334087,0.226732089065557,0.605211212001579,0.226732089065557,0.491151693334087,1,0.491151693334087,0.417263256347538,0.0933602719681705,0.368184127562069,0.200063521369343,0.368184127562069,0.368184127562069,0.417263256347538,0.226732089065557,0.182053533683929,0.169754473731143,0.109892388006257,0.161291303605171,0.169754473731143,0.226732089065557,0.491151693334087,0.176370950666949,0.182053533683929,0.266881513729481,0.605211212001579,0.0698989009481177,0.200063521369343,0.074963219752206,0.0698989009481177,0.0698989009481177,0.266881513729481,0.491151693334087,0.417263256347538,0.169754473731143,0.368184127562069,0.0933602719681705,0.182053533683929
"Irritable bowel syndrome(IBS)",0.0498579928542293,0.386967653528542,0.173472727049999,0.491151693334087,0.173472727049999,0.386967653528542,0.491151693334087,1,0.527498700621427,0.0714299464323527,0.453010235567401,0.148976520421494,0.453010235567401,0.453010235567401,0.527498700621427,0.173472727049999,0.132409048462471,0.1210836969317,0.0865818037575277,0.113285175146291,0.1210836969317,0.173472727049999,0.639392737369731,0.147105639620399,0.132409048462471,0.21027009483971,0.491151693334087,0.0498579928542293,0.148976520421494,0.0545213728963117,0.0498579928542293,0.0498579928542293,0.21027009483971,0.639392737369731,0.319248127932352,0.1210836969317,0.453010235567401,0.0714299464323527,0.132409048462471
"Constipation Irritable bowel syndrome(IBS)",0.0367619429090039,0.319248127932352,0.138778105311832,0.417263256347538,0.138778105311832,0.319248127932352,0.417263256347538,0.527498700621427,1,0.0571439257166366,0.351665478053376,0.115648378688694,0.351665478053376,0.351665478053376,0.421998728397202,0.138778105311832,0.0999899660382537,0.0892790042075809,0.0714299464323527,0.0819002213950383,0.0892790042075809,0.138778105311832,0.527498700621427,0.128249502550101,0.0999899660382537,0.173472727049999,0.417263256347538,0.0367619429090039,0.115648378688694,0.041172338956928,0.0367619429090039,0.0367619429090039,0.173472727049999,0.527498700621427,0.255398361876396,0.0892790042075809,0.351665478053376,0.0571439257166366,0.0999899660382537
"Obesity",0.0367619429090039,0.0714299464323527,0.0571439257166366,0.0933602719681705,0.0571439257166366,0.0714299464323527,0.0933602719681705,0.0714299464323527,0.0571439257166366,1,0.0476199206365212,0.0476199206365212,0.0476199206365212,0.0476199206365212,0.0571439257166366,0.0571439257166366,0.041172338956928,0.0367619429090039,0.0714299464323527,0.0337236205744276,0.0367619429090039,0.0571439257166366,0.0714299464323527,0.128249502550101,0.041172338956928,0.0714299464323527,0.0933602719681705,0.0367619429090039,0.0476199206365212,0.0999899660382537,0.0892790042075809,0.0367619429090039,0.0714299464323527,0.0714299464323527,0.0571439257166366,0.0367619429090039,0.0476199206365212,0.0571439257166366,0.041172338956928
